Name,Status,Population Census 1990,Population Census 2000,Population Census 2010,Population Census 2015,Population Census 2020
Tacurong,City,"58,785","76,354","89,188","98,316","109,319"
Sulu,Province,"469,971","619,668","718,290","824,731","1,000,108"
Hadji Panglima Tahil ( Marunggas ),Municipality,"4,153","5,314","5,850","6,375","7,906"
Indanan,Municipality,"41,969","53,425","65,858","80,883","93,168"
Jolo,Municipality,"53,055","87,998","118,307","125,564","137,266"
Kalingalan Caluang,Municipality,"15,824","22,688","26,848","31,567","39,549"
Lugus,Municipality,"14,907","18,839","19,839","21,897","29,043"
Luuk,Municipality,...,"24,939","29,897","32,162","37,873"
Maimbung,Municipality,"17,251","24,982","28,445","37,914","59,597"
Old Panamao,Municipality,"27,189","35,906","37,933","40,998","49,849"
Omar,Municipality,...,"13,880","18,098","25,116","28,070"
Pandami,Municipality,"17,159","19,964","22,474","25,885","33,177"
Panglima Estino ( New Panamao ),Municipality,"15,683","21,443","27,724","28,817","34,249"
Pangutaran,Municipality,"17,122","26,211","28,461","30,613","36,374"
Parang,Municipality,"43,273","54,994","58,028","62,172","71,495"
Pata,Municipality,"9,244","11,791","14,918","22,163","24,736"
Patikul,Municipality,"30,455","34,396","42,036","62,287","79,564"
Siasi,Municipality,"46,468","59,069","64,229","67,705","81,689"
Talipao,Municipality,"66,261","73,015","75,173","80,255","100,088"
Tapul,Municipality,"10,111","14,881","16,370","18,197","20,799"
Tongkil ( Banguingui ),Municipality,"10,469","15,933","17,802","24,161","35,616"
Surigao del Norte,Province,"327,113","374,465","442,588","485,088","534,636"
Alegria,Municipality,"9,715","12,923","14,539","16,011","16,184"
Bacuag,Municipality,"11,055","12,206","13,211","14,486","14,881"
Burgos,Municipality,"2,617","3,043","4,058","4,034","4,185"
Claver,Municipality,"13,452","16,403","23,702","32,773","36,033"
Dapa,Municipality,"17,396","19,508","23,492","23,787","29,006"
Del Carmen,Municipality,"11,786","13,558","17,136","18,392","20,127"
General Luna,Municipality,"11,535","12,347","15,014","16,771","22,853"
Gigaquit,Municipality,"13,715","16,155","18,784","20,864","21,849"
Mainit,Municipality,"21,505","23,417","25,596","26,741","28,019"
Malimono,Municipality,"16,208","14,597","18,316","18,054","18,852"
Pilar,Municipality,"7,873","8,401","9,456","9,752","10,374"
Placer,Municipality,"18,478","21,542","24,600","27,094","29,616"
San Benito,Municipality,"4,315","4,750","5,505","5,404","5,663"
San Francisco ( Anao-Aon ),Municipality,"9,445","11,521","13,335","14,552","15,347"
San Isidro,Municipality,"5,245","6,058","6,973","7,325","8,519"
