Name,Status,Population Census 1990,Population Census 2000,PopulationCensus2010-05-01,Population Census 2015,Population Census 2020
Pasuquin,Municipality,"21,410","24,739","27,952","28,980","29,678"
Piddig,Municipality,"17,078","19,059","20,606","21,497","22,475"
Pinili,Municipality,"14,950","15,903","16,732","17,300","17,626"
San Nicolas,Municipality,"27,632","31,688","34,237","36,736","38,895"
Sarrat,Municipality,"21,272","22,886","24,770","25,212","25,186"
Solsona,Municipality,"18,883","21,338","22,990","24,121","24,851"
Vintar,Municipality,"27,084","29,031","31,448","32,220","33,339"
Ilocos Sur,Province,"519,966","594,206","658,587","689,668","706,009"
Alilem,Municipality,"5,314","6,353","6,640","6,695","7,361"
Banayoyo,Municipality,"5,864","6,728","7,694","7,748","7,931"
Bantay,Municipality,"26,024","30,519","34,323","35,731","37,118"
Burgos,Municipality,"9,601","11,175","11,679","12,224","12,793"
Cabugao,Municipality,"27,997","31,459","35,706","37,501","38,884"
Candon,City,"43,473","50,564","57,884","60,623","61,432"
Caoayan,Municipality,"15,637","17,199","18,551","19,861","19,574"
Cervantes,Municipality,"12,476","14,195","16,573","17,211","19,449"
Galimuyod,Municipality,"7,941","8,879","10,011","10,748","10,244"
Gregorio del Pilar (Concepcion),Municipality,"3,417","4,134","4,219","4,875","4,472"
Lidlidda,Municipality,"3,515","4,022","4,398","4,647","4,705"
Magsingal,Municipality,"22,271","25,580","28,302","30,792","31,308"
Nagbukel,Municipality,"3,806","4,671","4,938","5,259","5,465"
Narvacan,Municipality,"35,153","38,435","42,803","44,006","46,234"
Quirino (Angkaki),Municipality,"6,623","7,130","8,535","8,573","9,306"
Salcedo (Baugen),Municipality,"9,397","10,409","10,935","11,288","11,110"
San Emilio,Municipality,...,"6,717","7,427","7,407","7,206"
San Esteban,Municipality,"6,327","7,174","8,072","8,349","8,381"
San Ildefonso,Municipality,"4,528","5,584","7,075","7,787","8,190"
San Juan (Lapog),Municipality,"20,328","23,146","25,199","26,411","26,674"
Santa,Municipality,"12,570","13,918","15,106","15,340","14,992"
Santa Catalina,Municipality,"11,388","12,537","13,597","13,945","14,493"
Santa Cruz,Municipality,"28,764","34,433","37,911","39,868","41,366"
Santa Lucia,Municipality,"20,504","22,363","24,981","25,402","25,966"
Santa Maria,Municipality,"23,821","26,396","28,597","30,321","30,006"
Santiago,Municipality,"14,427","15,876","17,958","18,759","19,471"
Santo Domingo,Municipality,"20,720","24,520","27,596","27,975","29,041"
San Vicente,Municipality,"9,989","10,877","11,720","12,758","13,118"
Sigay,Municipality,"1,964","2,375","2,419","2,737","2,552"
Sinait,Municipality,"21,779","24,070","25,427","25,640","25,998"
Sugpon,Municipality,"2,844","3,513","3,820","4,585","4,930"
Suyo,Municipality,"7,950","9,685","10,622","11,446","10,766"
